,Entity,Code,Year,Global Hunger Index (2021),"Prevalence of underweight, weight for age (% of children under 5)"
65,Cambodia,KHM,2000,41.1,39.70000076293945
66,Cambodia,KHM,2006,27.1,
67,Cambodia,KHM,2012,24.2,
68,Cambodia,KHM,2021,17.0,
196,Indonesia,IDN,2000,26.1,24.799999237060547
197,Indonesia,IDN,2006,29.5,
198,Indonesia,IDN,2012,23.0,
199,Indonesia,IDN,2021,18.0,
232,Laos,LAO,2000,44.1,35.599998474121094
233,Laos,LAO,2006,31.9,31.600000381469727
234,Laos,LAO,2012,25.7,
235,Laos,LAO,2021,19.5,
264,Malaysia,MYS,2000,15.4,
265,Malaysia,MYS,2006,13.7,12.699999809265137
266,Malaysia,MYS,2012,12.4,
267,Malaysia,MYS,2021,12.8,
300,Myanmar,MMR,2000,39.8,30.0
301,Myanmar,MMR,2006,31.6,
302,Myanmar,MMR,2012,22.9,
303,Myanmar,MMR,2021,17.5,
353,Philippines,PHL,2000,25.0,
354,Philippines,PHL,2006,20.4,
355,Philippines,PHL,2012,20.5,
356,Philippines,PHL,2021,16.8,
417,Thailand,THA,2000,18.5,
418,Thailand,THA,2006,12.3,7.0
419,Thailand,THA,2012,12.4,9.199999809265137
420,Thailand,THA,2021,11.7,
461,Vietnam,VNM,2000,26.3,26.700000762939453
462,Vietnam,VNM,2006,21.8,22.100000381469727
463,Vietnam,VNM,2012,16.0,16.200000762939453
464,Vietnam,VNM,2021,13.6,
556,Brunei,BRN,2009,,9.600000381469728
579,Cambodia,KHM,1996,,42.59999847412109
580,Cambodia,KHM,2005,,28.299999237060547
581,Cambodia,KHM,2008,,28.299999237060547
582,Cambodia,KHM,2010,,28.89999961853028
583,Cambodia,KHM,2014,,24.100000381469727
816,Indonesia,IDN,1987,,35.900001525878906
817,Indonesia,IDN,1989,,31.0
818,Indonesia,IDN,1992,,29.799999237060547
819,Indonesia,IDN,1996,,30.299999237060547
820,Indonesia,IDN,1998,,25.799999237060547
821,Indonesia,IDN,1999,,22.799999237060547
822,Indonesia,IDN,2001,,23.39999961853028
823,Indonesia,IDN,2002,,23.0
824,Indonesia,IDN,2003,,23.100000381469727
825,Indonesia,IDN,2004,,19.700000762939453
826,Indonesia,IDN,2005,,24.39999961853028
827,Indonesia,IDN,2007,,19.600000381469727
828,Indonesia,IDN,2010,,18.600000381469727
829,Indonesia,IDN,2013,,19.89999961853028
830,Indonesia,IDN,2018,,17.700000762939453
894,Laos,LAO,1993,,39.79999923706055
895,Laos,LAO,1994,,35.900001525878906
896,Laos,LAO,2011,,26.600000381469727
897,Laos,LAO,2015,,25.5
898,Laos,LAO,2017,,21.100000381469727
1018,Malaysia,MYS,1990,,22.100000381469727
1019,Malaysia,MYS,1991,,23.100000381469727
1020,Malaysia,MYS,1992,,22.600000381469727
1021,Malaysia,MYS,1993,,20.5
1022,Malaysia,MYS,1994,,19.700000762939453
1023,Malaysia,MYS,1995,,17.700000762939453
1024,Malaysia,MYS,1999,,16.700000762939453
1025,Malaysia,MYS,2015,,12.399999618530272
1026,Malaysia,MYS,2016,,13.699999809265137
1027,Malaysia,MYS,2019,,14.100000381469728
1129,Myanmar,MMR,1990,,32.5
1130,Myanmar,MMR,1991,,37.0
1131,Myanmar,MMR,1994,,31.200000762939453
1132,Myanmar,MMR,1995,,38.70000076293945
1133,Myanmar,MMR,1997,,28.100000381469727
1134,Myanmar,MMR,2003,,29.200000762939453
1135,Myanmar,MMR,2009,,22.600000381469727
1136,Myanmar,MMR,2016,,18.5
1137,Myanmar,MMR,2018,,19.100000381469727
1258,Philippines,PHL,1987,,29.299999237060547
1259,Philippines,PHL,1990,,29.89999961853028
1260,Philippines,PHL,1992,,29.799999237060547
1261,Philippines,PHL,1993,,26.299999237060547
1262,Philippines,PHL,1998,,28.299999237060547
1263,Philippines,PHL,2003,,20.700000762939453
1264,Philippines,PHL,2008,,20.600000381469727
1265,Philippines,PHL,2011,,20.200000762939453
1266,Philippines,PHL,2013,,19.89999961853028
1267,Philippines,PHL,2015,,21.39999961853028
1268,Philippines,PHL,2018,,19.100000381469727
1319,Singapore,SGP,2000,,3.299999952316284
1411,Thailand,THA,1987,,20.200000762939453
1412,Thailand,THA,1993,,16.299999237060547
1413,Thailand,THA,1995,,15.399999618530272
1414,Thailand,THA,2016,,6.699999809265137
1415,Thailand,THA,2019,,7.699999809265137
1522,Vietnam,VNM,1988,,40.70000076293945
1523,Vietnam,VNM,1993,,36.59999847412109
1524,Vietnam,VNM,1994,,40.59999847412109
1525,Vietnam,VNM,1998,,35.79999923706055
1526,Vietnam,VNM,1999,,31.100000381469727
1527,Vietnam,VNM,2002,,23.39999961853028
1528,Vietnam,VNM,2003,,24.600000381469727
1529,Vietnam,VNM,2004,,23.799999237060547
1530,Vietnam,VNM,2005,,22.700000762939453
1531,Vietnam,VNM,2007,,22.600000381469727
1532,Vietnam,VNM,2008,,20.200000762939453
1533,Vietnam,VNM,2009,,17.5
1534,Vietnam,VNM,2010,,11.699999809265137
1535,Vietnam,VNM,2011,,16.799999237060547
1536,Vietnam,VNM,2013,,15.300000190734863
1537,Vietnam,VNM,2014,,14.5
1538,Vietnam,VNM,2015,,14.100000381469728
1539,Vietnam,VNM,2016,,13.800000190734863
1540,Vietnam,VNM,2017,,13.399999618530272
